geneNames	GSM161945	GSM161946	GSM161948	GSM161949	GSM161950	GSM161951	GSM161952	GSM161953	GSM161954	GSM161955	GSM161956	GSM161957	GSM161958	GSM161959	GSM161960	GSM161961	GSM161962	GSM161963	GSM161964	GSM161965	GSM161966	GSM161967	GSM161968	GSM161969	GSM161970	GSM161971
A1BG	129.548	145.865	156.36	154.333	137.306	172.755	160.586	164.277	155.294	143.606	159.592	171.996	141.043	142.983	133.071	160.412	162.99	171.926	134.7	143.838	131.004	150.973	170.415	153.33	181.105	167.648
A1BG-AS1	200.969	198.769	192.161	148.572	210.47	174.286	175.431	165.458	188.817	185.673	194.66	187.376	181.669	182.5	180.675	171.596	145.587	183.958	212.732	174.647	127.156	149.239	198.939	238.087	247.109	166.897
A1CF	132.458	138.172	119.328	119.169	117.276	152.029	122.698	118.168	136.633	142.413	133.159	145.48	120.512	132.609	124.162	140.365	135.185	134.693	138.606	152.97	122.391	104.783	173.689	149.825	167.954	136.477
A2M	2642.06	2850.23	2345.77	2048.28	2620.9	1622.93	2347.56	3357.74	3121.45	2431.79	2894.48	3134.35	2468.23	2216.51	3034.57	3168.94	2362.39	2086.23	1768.6	2429.48	2440.55	2413.82	1213.09	1177.77	571.668	1726.06
A4GALT	623.627	627.598	647.541	708.002	570.704	642.275	717.663	683.529	575.326	475.755	626.033	538.142	679.008	815.493	764.45	709.087	742.572	612.288	556.755	591.416	901.692	650.915	653.221	536.26	523.934	605.942
A4GNT	96.2454	106.102	97.1674	110.56	85.5981	106.934	90.4943	103.483	98.5168	111.309	99.515	102.024	97.1223	90.436	107.263	85.9671	81.4117	103.354	119.55	85.1008	84.3696	93.6989	90.2051	84.5626	119.374	79.6508
AAAS	267.62	255.311	244.125	203	228.052	231.728	246.265	238.029	225.221	259.517	232.482	237.874	246.757	258.048	250.344	268.627	213.578	244.978	240.948	233.406	189.403	237.624	182.056	220.324	271.938	272.759
AACS	333.844	260.617	286.914	289.802	301.636	358.37	303.78	288.587	282.586	321.208	357.337	357.615	279.947	338.547	267.416	326.343	481.152	301.819	297.996	370.254	280.513	263.621	309.207	317.936	311.982	348.297
AADAC	98.9301	95.2998	116.374	88.9375	118.621	122.779	94.6669	108.64	114.234	128.353	113.641	142.331	97.3997	101.669	106.965	98.4806	63.8674	88.6854	111.033	95.7384	97.3139	90.8845	116.715	121.636	110.404	100.042
AADAT	115.778	129.969	122.207	119.614	113.813	121.738	115.049	115.902	126.664	108.702	121.138	122.327	137.674	123.198	134.245	122.075	114.712	118.432	116.918	120.85	95.84	107.605	114.561	108.914	127.664	117.146
AAED1	244.751	239.441	253.136	298.623	267.573	276.068	290.554	327.279	271.431	298.149	268.662	243.284	324.979	304.494	333.747	263.696	299.49	269.523	303.261	295.196	603.909	437.139	416.437	389.881	250.523	282.87
AAGAB	226.0415	246.9255	243.5385	264.056	226.016	224.5115	279.9065	285.9785	220.6555	243.4215	232.1045	237.7445	260.166	270.6475	270.439	316.0215	255.952	279.014	260.713	323.72	382.803	322.52	360.8055	319.3365	258.287	324.036
AAK1	136.0266167	155.14775	143.3752667	140.1648667	153.6098333	144.8911833	154.22765	162.9338167	148.8837833	137.5151	133.2425667	150.1959667	140.5979	152.78915	159.3096	173.6146667	154.7112833	152.01405	152.5831	182.1744333	202.1029833	222.62105	114.8188333	108.7289833	106.2627	160.63175
AAMDC	1376.062133	1562.7802	1982.86	1033.894033	1315.678133	1222.463967	1494.567667	1179.632433	1492.290333	1641.662667	1411.483533	1933.9229	1823.003	1580.919767	1543.029467	971.1416667	1294.226167	1113.9253	1196.461367	1466.6956	350.9608333	306.4754	1328.238567	1179.288867	742.5573	2240.318433
AAMP	510.454	508.813	459.284	528.579	470.816	491.946	491.004	565.796	508.428	514.023	517.504	511.851	514.079	571.336	520.702	533.746	551.207	505.385	475.161	531.06	597.082	903.902	507.667	521.596	554.951	600.258
AANAT	83.0163	73.1185	79.7145	71.3738	93.6618	82.9422	93.6553	72.5313	70.8923	77.2836	81.952	84.6674	79.6501	90.1253	84.0838	99.2461	101.641	83.5107	94.7528	78.7396	89.8036	95.3197	112.62	114.857	123.397	131.601
AAR2	184.591	209.789	188.135	196.269	189.43	195.27	207.596	238.146	193.227	201.668	179.105	185.987	225.025	230.317	198.331	213.5	203.612	214.344	202.543	217.919	286.702	513.679	243.609	220.144	213.712	232.863
AARS	967.592	750.979	907.495	747.465	854.448	938.866	950.004	815.488	687.966	925.667	880.854	844.963	1007.89	992.793	890.869	798.191	736.891	852.888	844.608	956.36	2199.22	1598.51	565.816	591.293	642.151	897.038
AARS2	276.477	268.0855	316.613	318.0765	325.395	291.0305	310.9505	307.106	298.2165	335.6785	317.606	359.4515	325.5225	311.7265	317.3515	313.9765	304.368	335.3825	333.7265	309.244	252.433	287.0355	261.44	289.9275	343.5735	312.279
AASDH	158.657	172.851	164.602	176.031	171.746	157.231	186.152	174.087	165.691	170.417	184.806	159.152	162.668	185.063	168.811	182.054	164.797	188.699	169.92	201.843	138.443	99.3402	163.865	123.369	109.504	160.094
AASDHPPT	630.7828667	479.7191333	446.5451667	546.7541333	457.5393	464.5758667	577.7969667	634.5284333	494.4796	598.4102333	476.6599667	414.5281333	467.7085333	511.7942667	495.6857	464.7513	430.689	428.5886	388.7931333	483.8617333	347.4553667	465.9140667	257.7209	252.6083667	73.39973333	495.2758
AASS	93.26355	98.2922	96.58455	91.5465	78.02885	71.3406	85.09575	77.60785	102.4432	82.89345	95.35265	79.33175	111.997	143.948	112.0655	99.434	60.41595	89.33805	93.9824	113.6265	81.3719	158.38	61.62275	67.80115	65.72955	65.66725
AATF	332.526	252.057	267.412	306.301	283.239	292.839	330.924	415.273	261.697	309.858	296.745	261.399	332.804	339.784	321.283	290.76	298.741	316.456	390.412	364.86	919.097	1509.13	369.719	376.338	329.161	367.888
AATK	445.76	385.228	389.3	400.169	431.685	438.078	402.375	363.134	382.091	419.768	319.293	432.106	417.062	442.707	439.611	377.885	453.11	402.501	453.365	429.441	348.098	264.718	406.059	411.33	591.406	476.915
AB488780	355.062	333.833	295.135	276.133	336.908	333.488	390.624	300.97	291.51	371.745	315.659	304.955	319.443	318.693	317.233	266.935	236.899	315.288	283.888	309.372	199.793	245.648	141.801	125.038	252.032	383.191
ABAT	102.5386667	78.9981	80.19946667	86.9968	91.4898	93.12683333	89.5467	84.1032	90.7235	82.81213333	85.37396667	71.98296667	89.65913333	90.13156667	87.637	81.50376667	91.14186667	79.80656667	89.24036667	94.77573333	87.23963333	94.54596667	85.15246667	101.0402333	102.0011333	95.95643333
ABCA1	390.1263333	198.613	223.072	452.8463333	294.1643333	322.7953333	397.376	505.293	258.934	252.9783333	307.175	248.669	324.0976667	339.6223333	333.67	237.8133333	218.604	437.9996667	261.1393333	376.9923333	321.1636667	739.4766667	139.7806667	145.448	99.27456667	265.3576667
ABCA11P	297.93	222.913	231.626	205.099	178.871	196.129	215.042	330.213	169.59	171.974	162.565	176.837	200.896	252.478	197.62	208.461	143.005	199.727	216.998	202.113	145.825	118.263	86.2228	74.6692	85.0193	125.708
ABCA12	27.8369	27.2134	30.7494	22.1172	17.8547	24.9581	25.1433	21.1553	23.2781	24.0076	30.8935	21.8473	27.5792	26.4678	18.1581	25.6209	41.5382	28.6537	33.3999	25.6912	19.0999	27.2518	29.0795	42.0215	40.1101	30.3142
ABCA17P	78.4446	80.7577	78.8113	69.9936	68.1636	84.9976	67.6798	77.1081	65.9992	65.8511	81.9638	100.093	81.6664	86.3051	92.0042	87.4733	89.8641	89.9588	90.9425	77.5629	199.033	74.219	127.358	128.045	124.202	111.932
ABCA2	235.3096333	266.4902667	235.6586	293.3866667	295.6981667	208.4622	277.4816667	237.2576	203.1868667	221.2434333	250.8104	213.2922	281.5109667	310.7620667	260.4557667	234.2939	327.9193667	261.5654333	193.6445667	229.8421667	155.5224	158.5466667	180.8362667	193.571	189.5293333	244.2504
ABCA3	169.395	171.76	189.903	187.813	163.053	180.036	188.188	194.724	182.787	155.263	172.502	201.024	187.959	189.074	171.651	180.842	179.828	197.561	193.855	195.402	193.7	216.183	151.378	162.877	268.257	208.717
ABCA4	197.061	199.009	203.725	221.577	203.858	218.438	194.165	168.344	208.457	222.417	165.504	201.312	188.908	180.87	179.884	175.702	223.637	202.712	215.188	207.183	143.588	140.227	180.124	186.735	218.214	205.797
ABCA5	893.052	797.169	794.726	998.801	828.712	653.035	821.592	1012.21	1004.69	932.818	969.176	1350.67	1090.3	1144.15	751.692	1192.65	1174.51	1170.52	739.332	1263.06	1287.57	1346.15	538.999	550.665	138.021	479.505
ABCA6	298.984	172.815	256.749	230.709	265.284	318.159	207.266	244.399	230.083	282.41	295.47	428.216	295.826	218.952	200.399	236.38	182.584	415.669	201.097	221.856	186.432	170.7	155.99	186.465	145.178	183.194
ABCA7	115.531	140.182	133.039	128.068	129.811	124.204	127.155	124.219	142.946	90.3363	142.038	150.611	111.457	145.187	120.354	121.834	127.676	118.73	128.883	113.628	108.83	137.835	130.437	115.41	139.969	122.703
ABCA8	1363.77	1398.47	1527.96	1332.99	1894.14	1035.84	1631.35	2277.91	1152.12	751.115	752.831	1566.46	1367.48	1294.15	1099.64	1137.62	872.176	1264.61	962.564	1496.68	927.664	337.531	973.898	955.531	141.042	476.365
ABCB1	37.9693	38.719	40.7344	27.9749	38.695	32.6445	31.1305	37.1728	31.6614	47.5572	32.6941	33.8966	43.0781	39.69	32.913	40.5451	57.2262	38.4544	39.0976	48.3836	48.3451	40.2307	46.6647	30.6146	49.2806	46.9327
ABCB10	196.17	198.658	213.772	223.063	186.998	207.978	266.174	285.416	208.819	149.774	151.008	190.33	242.641	229.527	221.704	247.401	198.39	235.909	248.98	294.627	253.966	243.618	393.35	317.634	63.6763	305.983
ABCB11	63.91775	68.61145	78.7101	69.9472	56.26375	67.39105	74.61995	66.99065	75.73155	67.0485	67.3684	74.53305	68.64875	65.3219	70.3829	72.6709	77.6027	67.8609	78.61675	74.5101	58.17085	63.8288	82.2878	76.82835	91.8748	77.7498
ABCB4	237.298	161.275	151.331	185.472	138.215	165.386	186.352	189.716	169.305	170.207	159.048	146.832	230.437	232.403	231.723	253.528	178.285	217.434	221.792	231.701	195.106	90.0018	133.103	140.853	136.2	163.051
ABCB6	193.658	192.8515	186.3775	191.7925	181.9255	196.8505	189.466	190.997	176.825	176.0005	199.0675	205.2475	183.715	183.9325	172.797	178.121	192.992	189.21	225.1165	238.716	209.9065	182.496	206.2415	193.3805	244.679	214.3405
ABCB7	583.147	541.655	495.923	577.777	545.192	604.508	674.102	734.214	523.655	598.788	572.856	567.674	623.246	641.671	663.076	553.879	434.936	605.752	694.127	697.82	520.708	529.104	508.812	525.305	102.267	427.263
ABCB8	117.3385	120.4185	130.1575	117.339	105.6485	109.5195	120.6645	111.92	112.886	112.6691	114.7155	114.5865	113.024	100.79315	105.97455	103.4453	109.824	110.4075	124.727	108.53415	109.3475	105.354	144.556	126.371	168.704	132.0475
ABCB9	167.284	176.6045	152.5475	155.851	187.654	154.8915	151.8045	148.928	167.967	161.099	161.0675	172.027	148.2225	151.478	160.729	148.0125	128.357	139.193	161.843	142.3455	114.8635	145.548	160.625	151.499	164.176	146.4225
ABCC1	268.24	208.236	183.5875	223.857	184.634	191.5035	262.2275	269.4275	195.6445	216.131	169.579	190.825	252.374	240.782	285.157	248.22	301.477	278.085	288.0145	298.6145	393.705	608.327	116.9792	123.29495	343.1755	306.7135
ABCC10	131.996	143.1055	131.6095	119.212	117.165	117.233	126.547	145.3195	122.3745	148.4005	132.7035	128.5805	146.4215	138.535	127.3765	156.644	119.338	142.4745	157.063	153.7645	188.2105	227.3375	107.50205	115.18565	191.5435	174.036
ABCC11	92.7514	90.6412	102.002	77.6877	58.5502	97.6599	80.8041	94.4529	74.3626	103.2	25.9688	96.326	75.7739	88.3296	67.7974	76.3751	109.165	103.805	102.076	73.1786	80.5406	85.0729	89.9994	79.8239	111.056	79.66
ABCC13	113.456	128.767	116.117	97.3042	97.1384	111.737	96.0325	106.915	109.162	103.216	129.61	114.991	103.604	96.5081	112.839	117.623	110.847	103.923	113.883	88.4738	91.0113	112.823	122.806	95.3527	124.191	106.388
ABCC2	114.553	103.177	114.151	114.907	90.5541	99.3723	106.78	104.989	88.6262	99.3087	99.4387	84.5044	115.247	144.408	133.667	114.442	112.404	115.724	110.753	115.493	100.263	93.0873	100.683	94.8332	140.647	144.547
ABCC3	174.366	172.2693333	168.9813333	164.8066667	172.947	183.5683333	166.858	171.084	186.6076667	176.9853333	188.0513333	187.495	171.435	164.6346667	171.3506667	179.7443333	171.643	167.292	180.3856667	165.7706667	146.6123333	189.5763333	177.9493333	177.444	212.3966667	173.225
ABCC4	180.557	206.102	182.228	209.127	163.381	282.14	213.166	230.953	251.985	242.949	200.622	233.276	248.807	229.949	188.171	201.026	232.499	180.667	271.338	253.105	465.302	281.979	219.805	182.87	149.575	182.508
ABCC5	504.9685	429.7685	415.523	357.04	361.8335	359.532	404.16	417.187	461.728	487.1555	380.686	438.268	461.0285	536.045	406.8295	507.264	289.995	640.841	290.921	474.1615	502.459	935.0595	638.466	546.9555	102.00315	437.362
ABCC8	202.2335	246.1945	243.791	221.0205	250.4405	239.3255	219.1445	155.8955	249.044	202.7275	218.591	154.918	207.6675	248.586	241.723	204.035	207.865	215.418	252.291	205.5365	180.6845	167.215	197.1025	186.161	265.879	262.1645
ABCC9	202.6576667	206.9166667	178.8983333	206.0286667	167.825	229.4916667	186.4463333	237.7746667	162.6193333	163.8266667	166.1476667	134.1986667	250.593	266.574	231.6376667	238.323	218.8186667	229.3553333	146.1583333	252.7116667	163.8503333	136.4063333	120.03	120.2536667	76.09963333	124.042
ABCD1	243.929	239.877	220.428	230.185	262.684	242.257	249.706	211.839	206.425	229.151	226.946	215.243	275.248	257.559	261.245	268.335	255.493	255.745	243.189	245.955	292.602	265.039	245.991	243.616	329.336	263.412
ABCD2	29.9039	31.8294	22.3219	30.3841	20.2919	25.4557	23.6985	33.0814	31.4644	32.0069	35.6417	38.7093	24.5594	26.5436	34.906	32.9084	30.2559	23.6905	28.9737	29.3143	25.962	35.7009	30.0418	47.2625	35.3854	28.1633
ABCD3	1431.91	1174.33	1385.27	1412.56	1936.53	1222.75	1525.04	1323.68	1649.67	1689.66	2003.64	1723.31	1178.06	1117.76	1064.94	1212.22	1180.96	1113.88	1134.5	1253.81	1215.11	557.568	896.435	952.202	134.169	1002.36
ABCD4	128.8468	146.5715	130.66365	125.40395	151.04835	141.0872	147.5411	151.4355	148.0449	150.1256	148.05855	131.6758	136.1997	153.6254	141.44975	133.9431	127.3652	147.607	130.58885	163.09575	107.30385	156.3328	121.76295	128.7155	112.1035	118.6333
ABCE1	371.5515	359.631	306.9285	456.269	406.226	363.2305	390.4315	575.056	364.334	414.791	436.401	328.2995	344.4605	348.329	371.582	362.358	393.1665	322.5945	351.154	394.892	859.2705	753.561	801.9925	794.3765	174.30065	344.7325
ABCF1	652.554	816.681	702.368	740.838	875.077	621.583	670.171	770.209	893.971	764.538	981.413	948.168	720.796	881.228	896.274	783.038	814.448	743.542	947.199	844.022	1106.56	1510.75	434.397	430.217	554.566	768.458
ABCF2	259.61558	327.1606	324.5332	312.78432	270.36258	292.70578	334.5253	271.645	267.195	256.04886	294.5638	237.49	279.0656	284.39544	292.1322	266.419	262.48	253.0944	316.6796	304.2786	486.7498	605.8542	364.1966	367.1144	254.0234	340.8948
ABCF3	346.327	463.477	366.866	387.764	399.778	356.099	465.312	360.449	388.957	432.478	354.289	390.001	443.343	531.501	440.373	517.509	386.463	457.493	424.63	460.65	371.939	499.208	305.671	329.909	430.575	510.319
ABCG1	124.551725	105.1104	148.97475	264.9295	116.940975	98.057975	151.98615	318.382	194.61875	161.98675	222.43175	160.097	234.5245	218.99625	258.0655	257.25825	159.457	233.5995	127.2788	236.7865	417.44375	1137.18475	111.70825	101.016725	137.4093	173.53
ABCG2	84.4638	93.6376	98.2462	128.663	83.3953	100.351	92.3018	110.18	106.753	106.685	88.2163	102.043	92.764	91.9525	99.5161	98.1963	106.5	102.801	107.239	111.289	103.09	90.3023	89.3275	104.419	115.26	120.058
ABCG4	239.972	232.722	241.977	238.975	262.737	266.707	224.481	212.538	245.343	183.482	240.77	276.093	224.302	237.317	234.853	248.591	217.771	243.631	235.643	232.151	190.465	204.136	227.271	231.391	252.183	229.003
ABCG5	59.65	52.6664	68.7539	72.5052	43.1589	78.9545	63.5388	67.3434	63.5107	76.9577	69.1045	86.3724	59.546	70.8279	70.8286	77.2425	61.8043	66.4714	74.5454	56.6157	74.1538	74.4488	114.107	130.67	62.3351	59.8182
ABCG8	113.741	163.255	127.591	121.919	129.467	135.485	120.432	104.437	138.391	132.675	145.2	137.874	128.401	116.38	138.068	117.825	103.191	113.127	131.44	128.317	107.533	119.262	138.649	146.125	156.042	131.456
ABHD1	211.403	220.519	231.619	175.476	255.027	228.202	222.17	222.951	208.721	265.594	231.975	261.581	222.357	238.389	211.188	212.598	194.341	204.249	204.659	198.99	195.998	230.264	235.217	250.612	228.683	225.965
ABHD10	258.7175	242.295	205.2845	262.783	214.4475	197.6025	240.406	293.823	231.1125	227.185	224.2805	189.015	254.077	282.4255	280.192	270.896	202.4055	240.2815	217.182	274.127	225.525	156.7445	133.863	139.3495	109.111	301.464
ABHD11	446.884	397.976	476.295	430.563	469.207	446.023	430.82	439.38	496.217	515.73	518.83	406.046	544.434	554.906	558.965	566.767	544.565	558.789	510.888	559.109	635.891	508.902	483.107	426.731	483.312	592.366
ABHD12	173.6509667	171.7334	203.2976667	197.181	176.6958	190.7555333	197.6674333	184.9843667	183.4058333	174.2706333	187.3137	187.0844667	196.1474667	189.1065333	182.1194	199.0233667	191.8223667	195.1188	195.007	197.4749333	270.017	260.2587	191.1613333	181.1851	250.5816667	206.091
ABHD14B	125.007	144.988	128.915	135.68	180.784	141.317	146.894	161.975	147.155	149.056	166.717	150.948	152.184	148.303	148.437	169.577	127.221	135.71	145.327	164.77	159.078	203.312	151.859	150.552	199.963	187.619
ABHD15	65.5715	72.3382	67.1243	94.9426	54.0025	82.2928	83.3509	77.8655	58.6374	80.0791	60.3851	75.7766	76.1524	61.7334	60.8255	58.4174	65.2302	76.5265	64.6796	76.2968	62.8961	69.9695	53.8665	50.1752	74.1174	64.8385
ABHD16A	363.7925	349.36	301.0455	363.3435	301.8075	402.478	396.048	386.4795	334.65	308.899	326.8135	419.644	321.597	331.5545	367.4915	355.1285	304.6995	353.5125	380.4215	358.0425	287.7535	528.295	311.738	293.264	593.337	441.195
ABHD16B	122.098	124.774	135.511	119.295	121.276	123.459	145.176	124.435	140.253	137.311	121.223	125.429	122.278	138.001	123.568	136.449	144.122	144.608	140.333	133.847	127.731	119.246	161.906	141.744	177.554	158.929
ABHD17A	762.455	967.002	788.545	709.459	603.017	707.002	976.216	943.152	779.546	707.481	446.926	658.82	1036.78	1051.99	936.846	1042.37	749.106	904.723	793.01	857.096	745.858	782.5	1060.19	971.714	1491.47	1412.34
ABHD17B	211.4888667	273.1934333	257.0636667	313.4866333	195.5888333	271.1556667	273.1685667	276.6845	211.4420333	239.0623333	281.5989333	242.9371333	265.2967333	229.5626	279.4157667	227.3894	214.5485333	219.9454333	335.0125	268.6430667	376.6945333	376.6417	614.6759	595.4555	224.798	316.8138333
ABHD17C	52.8121	48.9131	53.2204	59.25	45.6014	54.2518	49.8541	58.3382	63.7578	76.5737	66.8411	69.0762	60.1256	58.022	63.0641	53.0213	51.324	54.9811	57.4574	58.1164	61.1578	80.3808	81.3624	88.3126	53.4018	64.5348
ABHD2	151.0118167	153.89865	162.8336333	190.2352833	137.5495	168.3697833	151.5736667	193.9842333	169.9185833	154.0210333	158.3634833	171.4618333	159.9727	162.3555667	152.8363167	169.5356667	189.9422167	157.49485	150.7038333	154.6791333	273.1881667	203.6845	270.4986667	246.8158333	143.1738	177.90205
ABHD3	391.751	346.568	243.623	318.29	336.25	189.142	309.208	393.493	286.436	360.859	460.963	302.397	368.009	641.308	295.496	338.471	287.305	353.165	356.232	390.301	342.799	269.032	183.755	155.875	50.5421	223.769
ABHD4	578.197	541.369	627.115	573.47	539.519	550.796	604.706	481.998	559.181	597.058	550.197	624.027	631.806	635.068	668.258	616.07	566.154	650.341	779.533	646.538	744.017	558.621	774.056	774.248	692.425	697.271
ABHD5	138.382075	117.630025	119.36385	146.102775	133.0049	147.3915	142.371425	151.807575	135.937425	129.4444	128.37185	118.555825	133.119825	144.362475	137.49545	131.8663	131.627675	138.527925	100.2736	137.022075	169.41955	161.036775	194.64485	199.56365	81.2181	114.129625
ABHD6	107.136175	115.52525	110.7821	114.359575	116.9998	120.385375	111.196975	109.910375	113.2874	111.125525	114.22435	114.82615	114.806975	100.660875	104.70265	108.474475	103.629975	111.261775	137.933125	117.8799	113.619	115.81225	122.08545	121.461425	126.728775	119.48595
ABHD8	266.858	203.905	241.952	242.853	222.516	271.264	244.151	201.059	229.177	257.572	224.494	244.633	236.313	230.413	206.144	218.223	257.915	228.366	220.942	225.614	186.484	140.69	231.672	206.8	263.77	234.645
ABI1	412.238	315.925	352.9495	429.5095	290.7165	303.1715	405.0585	455.3035	279.8335	311.494	267.53	260.3795	430.395	426.7005	347.025	342.842	336.4035	299.8125	340.619	433.9755	513.9905	442.8465	345.5715	334.631	80.9252	339.778
ABI2	198.2198857	189.3715	177.2479143	205.7201286	192.2364286	196.5386857	198.4569571	283.7521429	202.9879429	222.0747857	198.5789286	232.7548286	192.8497857	185.5236857	180.2349429	208.0453143	193.9647143	198.5114571	210.1100429	214.4870571	144.8772857	157.8964714	144.6726714	142.1108429	138.0970857	164.8530286
ABI3	483.25	349.246	487.476	440.104	404.314	351.149	381.066	373.4	492.916	517.767	455.717	703.934	391.709	402.123	412.009	411.339	395.823	413.985	458.726	367.72	386.098	377.968	426.33	415.487	318.469	357.371
ABI3BP	229.61865	252.8113	494.68775	334.3444	574.7668	262.8831	420.1258	690.56655	245.5997	150.96715	248.2963	257.5087	299.39315	232.4258	252.9393	287.67175	280.12985	200.8408	308.7695	308.3794	240.41515	199.8486	297.7227	304.89445	131.0473	218.41735
ABL1	736.451	613.543	652.467	614.672	635.251	476.66	704.647	811.472	634.63	557.022	428.186	531.05	770.22	682.941	673.098	820.368	591.637	583.915	625.774	670.081	751.07	1368.96	339.219	306.049	688.003	739.938
