ID	Group	AQP9
GSM714086_Control	Normal	8.210025
GSM714087_Control	Normal	8.387873
GSM714088_Control	Normal	6.654478
GSM714089_Control	Normal	7.301118
GSM714090_Control	Normal	7.333276
GSM714091_Control	Normal	6.052903
GSM714092_Control	Normal	7.572351
GSM714093_Control	Normal	6.746765
GSM714094_Control	Normal	6.708305
GSM714095_Control	Normal	7.24676
GSM714096_Control	Normal	8.380837
GSM714097_Control	Normal	6.913163
GSM714098_Control	Normal	6.467228
GSM1060117_Control	Normal	9.171956
GSM1060119_Control	Normal	8.82366
GSM1060121_Control	Normal	7.238938
GSM1060123_Control	Normal	4.228917
GSM1060125_Control	Normal	8.684012
GSM1060127_Control	Normal	7.295915
GSM1060129_Control	Normal	6.902809
GSM1060131_Control	Normal	7.189665
GSM1060133_Control	Normal	5.97037
GSM1060135_Control	Normal	7.07651
GSM1060137_Control	Normal	7.482758
GSM1060139_Control	Normal	9.357752
GSM1060141_Control	Normal	9.29367
GSM1060143_Control	Normal	7.474589
GSM1060145_Control	Normal	7.401511
GSM1060147_Control	Normal	5.760409
GSM1060149_Control	Normal	8.731783
GSM1060151_Control	Normal	8.443035
GSM1060153_Control	Normal	5.202202
GSM1060155_Control	Normal	6.725274
GSM1060157_Control	Normal	9.026247
GSM1060159_Control	Normal	8.625384
GSM1060161_Control	Normal	6.842265
GSM1060163_Control	Normal	7.159608
GSM1060165_Control	Normal	7.329799
GSM1060167_Control	Normal	8.06558
GSM1060169_Control	Normal	4.638074
GSM1060171_Control	Normal	8.882997
GSM1060173_Control	Normal	7.420104
GSM1060175_Control	Normal	5.381182
GSM1060177_Control	Normal	8.935258
GSM1060179_Control	Normal	7.879922
GSM161966_Control	Normal	8.627514
GSM161967_Control	Normal	8.695472
GSM161968_Control	Normal	8.912249
GSM161969_Control	Normal	8.557143
GSM161970_Control	Normal	9.363386
GSM161971_Control	Normal	8.388338
GSM714070_Treat	T2DM	9.159172
GSM714071_Treat	T2DM	9.429652
GSM714072_Treat	T2DM	9.759485
GSM714073_Treat	T2DM	9.585656
GSM714074_Treat	T2DM	7.112626
GSM714075_Treat	T2DM	7.366194
GSM714076_Treat	T2DM	6.200659
GSM714077_Treat	T2DM	10.418181
GSM714078_Treat	T2DM	10.416762
GSM714079_Treat	T2DM	8.0123
GSM714080_Treat	T2DM	8.075712
GSM714081_Treat	T2DM	7.606597
GSM714082_Treat	T2DM	7.357018
GSM714083_Treat	T2DM	9.635941
GSM714084_Treat	T2DM	9.631534
GSM714085_Treat	T2DM	9.358101
GSM1060118_Treat	T2DM	9.796332
GSM1060120_Treat	T2DM	8.386906
GSM1060122_Treat	T2DM	8.335006
GSM1060124_Treat	T2DM	8.323038
GSM1060126_Treat	T2DM	8.540148
GSM1060128_Treat	T2DM	9.649603
GSM1060130_Treat	T2DM	9.069288
GSM1060132_Treat	T2DM	9.446913
GSM1060134_Treat	T2DM	8.91288
GSM1060136_Treat	T2DM	8.922993
GSM1060138_Treat	T2DM	9.011609
GSM1060140_Treat	T2DM	9.018123
GSM1060142_Treat	T2DM	9.066206
GSM1060144_Treat	T2DM	9.098419
GSM1060146_Treat	T2DM	9.411102
GSM1060148_Treat	T2DM	8.49773
GSM1060150_Treat	T2DM	8.768476
GSM1060152_Treat	T2DM	8.538365
GSM1060154_Treat	T2DM	8.203613
GSM1060156_Treat	T2DM	8.114025
GSM1060158_Treat	T2DM	8.284684
GSM1060160_Treat	T2DM	9.264553
GSM1060162_Treat	T2DM	6.26664
GSM1060164_Treat	T2DM	9.107003
GSM1060166_Treat	T2DM	9.200873
GSM1060168_Treat	T2DM	7.136709
GSM1060170_Treat	T2DM	7.913175
GSM1060172_Treat	T2DM	9.65477
GSM1060174_Treat	T2DM	7.398823
GSM1060176_Treat	T2DM	7.443408
GSM1060178_Treat	T2DM	9.884852
GSM1060180_Treat	T2DM	6.539943
GSM161958_Treat	T2DM	7.714202
GSM161959_Treat	T2DM	7.771661
GSM161960_Treat	T2DM	7.606583
GSM161961_Treat	T2DM	7.871412
GSM161962_Treat	T2DM	7.498393
GSM161963_Treat	T2DM	7.652619
GSM161964_Treat	T2DM	8.476072
GSM161965_Treat	T2DM	8.011946
GSM161945_Treat	T2DM	7.645682
GSM161946_Treat	T2DM	7.847641
GSM161949_Treat	T2DM	8.000294
GSM161950_Treat	T2DM	7.779408
GSM161951_Treat	T2DM	7.515517
GSM161952_Treat	T2DM	7.836597
GSM161948_Treat	T2DM	7.941727
GSM161953_Treat	T2DM	7.576022
GSM161954_Treat	T2DM	7.801048
GSM161955_Treat	T2DM	7.906377
GSM161956_Treat	T2DM	7.932389
GSM161957_Treat	T2DM	7.602733
