ID	Group	CASQ2
GSM714086_Control	Normal	10.646898
GSM714087_Control	Normal	10.452207
GSM714088_Control	Normal	11.083319
GSM714089_Control	Normal	9.131731
GSM714090_Control	Normal	9.18486
GSM714091_Control	Normal	10.616777
GSM714092_Control	Normal	10.101276
GSM714093_Control	Normal	10.708657
GSM714094_Control	Normal	9.177192
GSM714095_Control	Normal	7.790734
GSM714096_Control	Normal	8.514075
GSM714097_Control	Normal	11.098424
GSM714098_Control	Normal	11.213004
GSM1060117_Control	Normal	8.871831
GSM1060119_Control	Normal	10.969118
GSM1060121_Control	Normal	10.759203
GSM1060123_Control	Normal	10.776137
GSM1060125_Control	Normal	10.175278
GSM1060127_Control	Normal	10.250777
GSM1060129_Control	Normal	11.117291
GSM1060131_Control	Normal	10.057917
GSM1060133_Control	Normal	10.139854
GSM1060135_Control	Normal	10.301786
GSM1060137_Control	Normal	10.745733
GSM1060139_Control	Normal	8.03283
GSM1060141_Control	Normal	7.958617
GSM1060143_Control	Normal	9.595187
GSM1060145_Control	Normal	10.653625
GSM1060147_Control	Normal	10.506712
GSM1060149_Control	Normal	7.886352
GSM1060151_Control	Normal	10.375068
GSM1060153_Control	Normal	9.690667
GSM1060155_Control	Normal	10.121139
GSM1060157_Control	Normal	9.924248
GSM1060159_Control	Normal	9.915385
GSM1060161_Control	Normal	10.176058
GSM1060163_Control	Normal	11.064254
GSM1060165_Control	Normal	10.523794
GSM1060167_Control	Normal	10.09407
GSM1060169_Control	Normal	11.333482
GSM1060171_Control	Normal	8.855518
GSM1060173_Control	Normal	10.569581
GSM1060175_Control	Normal	10.167938
GSM1060177_Control	Normal	10.456593
GSM1060179_Control	Normal	9.27934
GSM161966_Control	Normal	8.066452
GSM161967_Control	Normal	7.215779
GSM161968_Control	Normal	8.442141
GSM161969_Control	Normal	8.622802
GSM161970_Control	Normal	7.022128
GSM161971_Control	Normal	9.570386
GSM714070_Treat	T2DM	8.236723
GSM714071_Treat	T2DM	8.154478
GSM714072_Treat	T2DM	7.686124
GSM714073_Treat	T2DM	7.97914
GSM714074_Treat	T2DM	8.383319
GSM714075_Treat	T2DM	8.685718
GSM714076_Treat	T2DM	9.919647
GSM714077_Treat	T2DM	8.917517
GSM714078_Treat	T2DM	9.074576
GSM714079_Treat	T2DM	9.591996
GSM714080_Treat	T2DM	9.66484
GSM714081_Treat	T2DM	9.215401
GSM714082_Treat	T2DM	9.476941
GSM714083_Treat	T2DM	10.639664
GSM714084_Treat	T2DM	7.278795
GSM714085_Treat	T2DM	7.416764
GSM1060118_Treat	T2DM	7.484583
GSM1060120_Treat	T2DM	10.582162
GSM1060122_Treat	T2DM	9.368687
GSM1060124_Treat	T2DM	9.03616
GSM1060126_Treat	T2DM	9.434548
GSM1060128_Treat	T2DM	7.544462
GSM1060130_Treat	T2DM	7.71365
GSM1060132_Treat	T2DM	7.734605
GSM1060134_Treat	T2DM	9.022257
GSM1060136_Treat	T2DM	8.505351
GSM1060138_Treat	T2DM	9.498826
GSM1060140_Treat	T2DM	8.727814
GSM1060142_Treat	T2DM	7.426141
GSM1060144_Treat	T2DM	6.773085
GSM1060146_Treat	T2DM	7.472795
GSM1060148_Treat	T2DM	7.786893
GSM1060150_Treat	T2DM	8.314355
GSM1060152_Treat	T2DM	9.431865
GSM1060154_Treat	T2DM	7.885962
GSM1060156_Treat	T2DM	7.873735
GSM1060158_Treat	T2DM	9.97806
GSM1060160_Treat	T2DM	9.266994
GSM1060162_Treat	T2DM	9.575316
GSM1060164_Treat	T2DM	9.698945
GSM1060166_Treat	T2DM	7.32216
GSM1060168_Treat	T2DM	9.859052
GSM1060170_Treat	T2DM	8.341213
GSM1060172_Treat	T2DM	8.043692
GSM1060174_Treat	T2DM	10.46134
GSM1060176_Treat	T2DM	7.949311
GSM1060178_Treat	T2DM	7.713918
GSM1060180_Treat	T2DM	7.875767
GSM161958_Treat	T2DM	9.733948
GSM161959_Treat	T2DM	10.394874
GSM161960_Treat	T2DM	9.847431
GSM161961_Treat	T2DM	9.015558
GSM161962_Treat	T2DM	9.821799
GSM161963_Treat	T2DM	10.404501
GSM161964_Treat	T2DM	8.550973
GSM161965_Treat	T2DM	9.748576
GSM161945_Treat	T2DM	10.410567
GSM161946_Treat	T2DM	9.544506
GSM161949_Treat	T2DM	9.393686
GSM161950_Treat	T2DM	10.198
GSM161951_Treat	T2DM	9.044188
GSM161952_Treat	T2DM	9.793585
GSM161948_Treat	T2DM	8.326574
GSM161953_Treat	T2DM	10.410567
GSM161954_Treat	T2DM	9.659879
GSM161955_Treat	T2DM	10.273102
GSM161956_Treat	T2DM	9.250398
GSM161957_Treat	T2DM	8.978241
