ID	Group	CCR1
GSM714086_Control	Normal	6.732262
GSM714087_Control	Normal	6.786295
GSM714088_Control	Normal	6.861561
GSM714089_Control	Normal	6.319716
GSM714090_Control	Normal	6.307008
GSM714091_Control	Normal	5.55932
GSM714092_Control	Normal	6.215776
GSM714093_Control	Normal	6.533519
GSM714094_Control	Normal	7.103669
GSM714095_Control	Normal	6.717182
GSM714096_Control	Normal	7.605587
GSM714097_Control	Normal	6.648152
GSM714098_Control	Normal	6.215545
GSM1060117_Control	Normal	7.921917
GSM1060119_Control	Normal	7.436138
GSM1060121_Control	Normal	6.081928
GSM1060123_Control	Normal	4.43367
GSM1060125_Control	Normal	7.244963
GSM1060127_Control	Normal	6.167563
GSM1060129_Control	Normal	6.613348
GSM1060131_Control	Normal	6.813873
GSM1060133_Control	Normal	6.306861
GSM1060135_Control	Normal	6.641389
GSM1060137_Control	Normal	5.940388
GSM1060139_Control	Normal	8.809668
GSM1060141_Control	Normal	7.600644
GSM1060143_Control	Normal	6.819228
GSM1060145_Control	Normal	7.241801
GSM1060147_Control	Normal	6.4265
GSM1060149_Control	Normal	8.06618
GSM1060151_Control	Normal	7.632166
GSM1060153_Control	Normal	5.637253
GSM1060155_Control	Normal	6.241111
GSM1060157_Control	Normal	7.665153
GSM1060159_Control	Normal	7.875011
GSM1060161_Control	Normal	6.640719
GSM1060163_Control	Normal	6.985509
GSM1060165_Control	Normal	6.735488
GSM1060167_Control	Normal	7.216329
GSM1060169_Control	Normal	5.017534
GSM1060171_Control	Normal	7.576391
GSM1060173_Control	Normal	6.834782
GSM1060175_Control	Normal	5.707154
GSM1060177_Control	Normal	7.586986
GSM1060179_Control	Normal	7.097283
GSM161966_Control	Normal	7.901455
GSM161967_Control	Normal	8.226181
GSM161968_Control	Normal	7.798808
GSM161969_Control	Normal	7.69221
GSM161970_Control	Normal	8.152001
GSM161971_Control	Normal	7.026866
GSM714070_Treat	T2DM	7.917362
GSM714071_Treat	T2DM	8.020376
GSM714072_Treat	T2DM	8.006898
GSM714073_Treat	T2DM	8.017508
GSM714074_Treat	T2DM	8.480667
GSM714075_Treat	T2DM	8.541485
GSM714076_Treat	T2DM	6.294858
GSM714077_Treat	T2DM	8.115824
GSM714078_Treat	T2DM	7.856626
GSM714079_Treat	T2DM	7.574107
GSM714080_Treat	T2DM	7.670983
GSM714081_Treat	T2DM	7.73425
GSM714082_Treat	T2DM	7.812218
GSM714083_Treat	T2DM	8.536063
GSM714084_Treat	T2DM	8.966717
GSM714085_Treat	T2DM	8.924461
GSM1060118_Treat	T2DM	8.546564
GSM1060120_Treat	T2DM	7.445343
GSM1060122_Treat	T2DM	7.618035
GSM1060124_Treat	T2DM	7.638767
GSM1060126_Treat	T2DM	7.460481
GSM1060128_Treat	T2DM	8.442955
GSM1060130_Treat	T2DM	8.466531
GSM1060132_Treat	T2DM	8.169617
GSM1060134_Treat	T2DM	7.774377
GSM1060136_Treat	T2DM	8.177962
GSM1060138_Treat	T2DM	7.163134
GSM1060140_Treat	T2DM	8.414346
GSM1060142_Treat	T2DM	8.173349
GSM1060144_Treat	T2DM	8.368938
GSM1060146_Treat	T2DM	8.876164
GSM1060148_Treat	T2DM	8.264095
GSM1060150_Treat	T2DM	8.147136
GSM1060152_Treat	T2DM	8.299536
GSM1060154_Treat	T2DM	7.880481
GSM1060156_Treat	T2DM	7.925585
GSM1060158_Treat	T2DM	7.544058
GSM1060160_Treat	T2DM	7.980944
GSM1060162_Treat	T2DM	6.520623
GSM1060164_Treat	T2DM	8.047931
GSM1060166_Treat	T2DM	8.243222
GSM1060168_Treat	T2DM	7.009734
GSM1060170_Treat	T2DM	7.814376
GSM1060172_Treat	T2DM	8.297644
GSM1060174_Treat	T2DM	6.662153
GSM1060176_Treat	T2DM	7.339442
GSM1060178_Treat	T2DM	8.323409
GSM1060180_Treat	T2DM	7.905139
GSM161958_Treat	T2DM	7.427134
GSM161959_Treat	T2DM	6.954036
GSM161960_Treat	T2DM	7.441182
GSM161961_Treat	T2DM	7.171668
GSM161962_Treat	T2DM	7.136466
GSM161963_Treat	T2DM	7.044077
GSM161964_Treat	T2DM	7.504503
GSM161965_Treat	T2DM	7.386801
GSM161945_Treat	T2DM	6.843941
GSM161946_Treat	T2DM	7.151846
GSM161949_Treat	T2DM	7.264955
GSM161950_Treat	T2DM	7.773362
GSM161951_Treat	T2DM	6.938468
GSM161952_Treat	T2DM	7.414877
GSM161948_Treat	T2DM	7.655203
GSM161953_Treat	T2DM	7.349635
GSM161954_Treat	T2DM	7.076299
GSM161955_Treat	T2DM	7.006347
GSM161956_Treat	T2DM	7.107738
GSM161957_Treat	T2DM	7.154427
