ID	Group	CD163
GSM714086_Control	Normal	9.920468
GSM714087_Control	Normal	9.962489
GSM714088_Control	Normal	9.355554
GSM714089_Control	Normal	8.11495
GSM714090_Control	Normal	8.25413
GSM714091_Control	Normal	7.644899
GSM714092_Control	Normal	7.661509
GSM714093_Control	Normal	7.680664
GSM714094_Control	Normal	9.764354
GSM714095_Control	Normal	9.778696
GSM714096_Control	Normal	9.253834
GSM714097_Control	Normal	8.630334
GSM714098_Control	Normal	9.171797
GSM1060117_Control	Normal	10.641994
GSM1060119_Control	Normal	9.013569
GSM1060121_Control	Normal	7.416084
GSM1060123_Control	Normal	6.265521
GSM1060125_Control	Normal	9.093374
GSM1060127_Control	Normal	8.170997
GSM1060129_Control	Normal	8.563127
GSM1060131_Control	Normal	9.108759
GSM1060133_Control	Normal	8.122286
GSM1060135_Control	Normal	8.412815
GSM1060137_Control	Normal	7.982956
GSM1060139_Control	Normal	10.515763
GSM1060141_Control	Normal	9.615218
GSM1060143_Control	Normal	8.484915
GSM1060145_Control	Normal	9.246688
GSM1060147_Control	Normal	9.013569
GSM1060149_Control	Normal	9.956058
GSM1060151_Control	Normal	9.807813
GSM1060153_Control	Normal	7.773486
GSM1060155_Control	Normal	8.184534
GSM1060157_Control	Normal	9.848582
GSM1060159_Control	Normal	9.70289
GSM1060161_Control	Normal	8.493549
GSM1060163_Control	Normal	9.044802
GSM1060165_Control	Normal	8.581296
GSM1060167_Control	Normal	9.26253
GSM1060169_Control	Normal	7.107505
GSM1060171_Control	Normal	9.791396
GSM1060173_Control	Normal	9.216122
GSM1060175_Control	Normal	7.606484
GSM1060177_Control	Normal	9.592463
GSM1060179_Control	Normal	9.668188
GSM161966_Control	Normal	11.208367
GSM161967_Control	Normal	12.312432
GSM161968_Control	Normal	10.137932
GSM161969_Control	Normal	10.201286
GSM161970_Control	Normal	8.656329
GSM161971_Control	Normal	8.559101
GSM714070_Treat	T2DM	9.833755
GSM714071_Treat	T2DM	9.811533
GSM714072_Treat	T2DM	9.759125
GSM714073_Treat	T2DM	9.964347
GSM714074_Treat	T2DM	9.958378
GSM714075_Treat	T2DM	10.041456
GSM714076_Treat	T2DM	8.003674
GSM714077_Treat	T2DM	9.922379
GSM714078_Treat	T2DM	10.0258
GSM714079_Treat	T2DM	9.46718
GSM714080_Treat	T2DM	9.461314
GSM714081_Treat	T2DM	9.206495
GSM714082_Treat	T2DM	9.236847
GSM714083_Treat	T2DM	10.068109
GSM714084_Treat	T2DM	11.36123
GSM714085_Treat	T2DM	11.36123
GSM1060118_Treat	T2DM	10.709687
GSM1060120_Treat	T2DM	9.112946
GSM1060122_Treat	T2DM	9.402641
GSM1060124_Treat	T2DM	9.501346
GSM1060126_Treat	T2DM	9.402641
GSM1060128_Treat	T2DM	10.187892
GSM1060130_Treat	T2DM	10.074593
GSM1060132_Treat	T2DM	10.249499
GSM1060134_Treat	T2DM	9.9745
GSM1060136_Treat	T2DM	9.895567
GSM1060138_Treat	T2DM	9.582858
GSM1060140_Treat	T2DM	10.069338
GSM1060142_Treat	T2DM	10.196003
GSM1060144_Treat	T2DM	9.966366
GSM1060146_Treat	T2DM	10.50744
GSM1060148_Treat	T2DM	10.543466
GSM1060150_Treat	T2DM	10.039249
GSM1060152_Treat	T2DM	10.473478
GSM1060154_Treat	T2DM	9.723217
GSM1060156_Treat	T2DM	10.344801
GSM1060158_Treat	T2DM	9.598708
GSM1060160_Treat	T2DM	9.868408
GSM1060162_Treat	T2DM	9.230935
GSM1060164_Treat	T2DM	10.114843
GSM1060166_Treat	T2DM	10.336874
GSM1060168_Treat	T2DM	9.430148
GSM1060170_Treat	T2DM	9.817637
GSM1060172_Treat	T2DM	10.446908
GSM1060174_Treat	T2DM	9.097328
GSM1060176_Treat	T2DM	9.332115
GSM1060178_Treat	T2DM	10.25733
GSM1060180_Treat	T2DM	10.767576
GSM161958_Treat	T2DM	9.339554
GSM161959_Treat	T2DM	9.217982
GSM161960_Treat	T2DM	9.074438
GSM161961_Treat	T2DM	9.07147
GSM161962_Treat	T2DM	9.015148
GSM161963_Treat	T2DM	9.121501
GSM161964_Treat	T2DM	8.922721
GSM161965_Treat	T2DM	9.193449
GSM161945_Treat	T2DM	9.535009
GSM161946_Treat	T2DM	9.045785
GSM161949_Treat	T2DM	9.337772
GSM161950_Treat	T2DM	9.547774
GSM161951_Treat	T2DM	9.041253
GSM161952_Treat	T2DM	9.319722
GSM161948_Treat	T2DM	9.242318
GSM161953_Treat	T2DM	9.727438
GSM161954_Treat	T2DM	8.727512
GSM161955_Treat	T2DM	8.954766
GSM161956_Treat	T2DM	8.713904
GSM161957_Treat	T2DM	8.868258
