ID	Group	CHI3L1
GSM714086_Control	Normal	7.457053
GSM714087_Control	Normal	7.463635
GSM714088_Control	Normal	6.295576
GSM714089_Control	Normal	6.454069
GSM714090_Control	Normal	6.628113
GSM714091_Control	Normal	7.084312
GSM714092_Control	Normal	6.982143
GSM714093_Control	Normal	6.631483
GSM714094_Control	Normal	6.713836
GSM714095_Control	Normal	6.885624
GSM714096_Control	Normal	8.918511
GSM714097_Control	Normal	8.265734
GSM714098_Control	Normal	6.705351
GSM1060117_Control	Normal	9.02637
GSM1060119_Control	Normal	8.243833
GSM1060121_Control	Normal	6.43064
GSM1060123_Control	Normal	4.255724
GSM1060125_Control	Normal	9.404175
GSM1060127_Control	Normal	8.592503
GSM1060129_Control	Normal	7.925097
GSM1060131_Control	Normal	8.586286
GSM1060133_Control	Normal	7.183947
GSM1060135_Control	Normal	6.701155
GSM1060137_Control	Normal	4.427521
GSM1060139_Control	Normal	8.76615
GSM1060141_Control	Normal	8.767552
GSM1060143_Control	Normal	7.989818
GSM1060145_Control	Normal	8.496019
GSM1060147_Control	Normal	6.645962
GSM1060149_Control	Normal	9.774894
GSM1060151_Control	Normal	8.224907
GSM1060153_Control	Normal	7.551158
GSM1060155_Control	Normal	6.676625
GSM1060157_Control	Normal	8.26282
GSM1060159_Control	Normal	8.571568
GSM1060161_Control	Normal	7.589302
GSM1060163_Control	Normal	7.498736
GSM1060165_Control	Normal	6.537258
GSM1060167_Control	Normal	7.76939
GSM1060169_Control	Normal	5.721618
GSM1060171_Control	Normal	7.828967
GSM1060173_Control	Normal	7.718629
GSM1060175_Control	Normal	5.436971
GSM1060177_Control	Normal	8.67275
GSM1060179_Control	Normal	4.836576
GSM161966_Control	Normal	8.713091
GSM161967_Control	Normal	11.514398
GSM161968_Control	Normal	10.395996
GSM161969_Control	Normal	10.301903
GSM161970_Control	Normal	8.244457
GSM161971_Control	Normal	7.73301
GSM714070_Treat	T2DM	10.688841
GSM714071_Treat	T2DM	10.512992
GSM714072_Treat	T2DM	9.444858
GSM714073_Treat	T2DM	9.592943
GSM714074_Treat	T2DM	8.595344
GSM714075_Treat	T2DM	8.572865
GSM714076_Treat	T2DM	6.738066
GSM714077_Treat	T2DM	9.08866
GSM714078_Treat	T2DM	9.190016
GSM714079_Treat	T2DM	8.147316
GSM714080_Treat	T2DM	8.138324
GSM714081_Treat	T2DM	8.336934
GSM714082_Treat	T2DM	8.587003
GSM714083_Treat	T2DM	7.324911
GSM714084_Treat	T2DM	9.113038
GSM714085_Treat	T2DM	9.155078
GSM1060118_Treat	T2DM	9.523157
GSM1060120_Treat	T2DM	8.669387
GSM1060122_Treat	T2DM	7.874514
GSM1060124_Treat	T2DM	8.875058
GSM1060126_Treat	T2DM	8.422535
GSM1060128_Treat	T2DM	9.885592
GSM1060130_Treat	T2DM	8.980643
GSM1060132_Treat	T2DM	9.674761
GSM1060134_Treat	T2DM	7.948673
GSM1060136_Treat	T2DM	9.080838
GSM1060138_Treat	T2DM	6.564401
GSM1060140_Treat	T2DM	8.490078
GSM1060142_Treat	T2DM	9.068623
GSM1060144_Treat	T2DM	9.60724
GSM1060146_Treat	T2DM	9.721417
GSM1060148_Treat	T2DM	8.986317
GSM1060150_Treat	T2DM	9.848374
GSM1060152_Treat	T2DM	9.236035
GSM1060154_Treat	T2DM	8.953819
GSM1060156_Treat	T2DM	8.420191
GSM1060158_Treat	T2DM	8.141233
GSM1060160_Treat	T2DM	9.040392
GSM1060162_Treat	T2DM	6.482694
GSM1060164_Treat	T2DM	9.012706
GSM1060166_Treat	T2DM	9.302632
GSM1060168_Treat	T2DM	7.464265
GSM1060170_Treat	T2DM	8.417711
GSM1060172_Treat	T2DM	8.808186
GSM1060174_Treat	T2DM	7.716941
GSM1060176_Treat	T2DM	8.531012
GSM1060178_Treat	T2DM	9.601238
GSM1060180_Treat	T2DM	4.96596
GSM161958_Treat	T2DM	7.335875
GSM161959_Treat	T2DM	7.675464
GSM161960_Treat	T2DM	7.558009
GSM161961_Treat	T2DM	7.480464
GSM161962_Treat	T2DM	7.94231
GSM161963_Treat	T2DM	7.595852
GSM161964_Treat	T2DM	7.62502
GSM161965_Treat	T2DM	7.514325
GSM161945_Treat	T2DM	7.551586
GSM161946_Treat	T2DM	7.56815
GSM161949_Treat	T2DM	7.666682
GSM161950_Treat	T2DM	7.601824
GSM161951_Treat	T2DM	7.578174
GSM161952_Treat	T2DM	7.680911
GSM161948_Treat	T2DM	7.514025
GSM161953_Treat	T2DM	7.847896
GSM161954_Treat	T2DM	7.648563
GSM161955_Treat	T2DM	7.656362
GSM161956_Treat	T2DM	7.558276
GSM161957_Treat	T2DM	7.612548
