ID	Group	CNN1
GSM714086_Control	Normal	10.211231
GSM714087_Control	Normal	10.157324
GSM714088_Control	Normal	10.054504
GSM714089_Control	Normal	9.87915
GSM714090_Control	Normal	9.861767
GSM714091_Control	Normal	10.432873
GSM714092_Control	Normal	10.715676
GSM714093_Control	Normal	9.563419
GSM714094_Control	Normal	10.298403
GSM714095_Control	Normal	9.089827
GSM714096_Control	Normal	8.830635
GSM714097_Control	Normal	10.109122
GSM714098_Control	Normal	10.28604
GSM1060117_Control	Normal	9.023514
GSM1060119_Control	Normal	9.898752
GSM1060121_Control	Normal	10.443063
GSM1060123_Control	Normal	10.54958
GSM1060125_Control	Normal	9.631386
GSM1060127_Control	Normal	9.790312
GSM1060129_Control	Normal	10.438025
GSM1060131_Control	Normal	10.359393
GSM1060133_Control	Normal	10.284741
GSM1060135_Control	Normal	10.172823
GSM1060137_Control	Normal	11.066908
GSM1060139_Control	Normal	8.386838
GSM1060141_Control	Normal	9.42779
GSM1060143_Control	Normal	10.095348
GSM1060145_Control	Normal	10.213659
GSM1060147_Control	Normal	10.04944
GSM1060149_Control	Normal	8.238417
GSM1060151_Control	Normal	9.709632
GSM1060153_Control	Normal	10.390766
GSM1060155_Control	Normal	10.414239
GSM1060157_Control	Normal	8.926927
GSM1060159_Control	Normal	9.155693
GSM1060161_Control	Normal	9.989997
GSM1060163_Control	Normal	10.248941
GSM1060165_Control	Normal	10.296462
GSM1060167_Control	Normal	10.043031
GSM1060169_Control	Normal	10.729899
GSM1060171_Control	Normal	8.96245
GSM1060173_Control	Normal	10.107086
GSM1060175_Control	Normal	10.099117
GSM1060177_Control	Normal	9.798867
GSM1060179_Control	Normal	9.809259
GSM161966_Control	Normal	9.8122
GSM161967_Control	Normal	10.015901
GSM161968_Control	Normal	9.566948
GSM161969_Control	Normal	9.566948
GSM161970_Control	Normal	10.71352
GSM161971_Control	Normal	9.77528
GSM714070_Treat	T2DM	8.826964
GSM714071_Treat	T2DM	8.826964
GSM714072_Treat	T2DM	8.462356
GSM714073_Treat	T2DM	8.663553
GSM714074_Treat	T2DM	8.888419
GSM714075_Treat	T2DM	8.860984
GSM714076_Treat	T2DM	9.335107
GSM714077_Treat	T2DM	9.190681
GSM714078_Treat	T2DM	9.190681
GSM714079_Treat	T2DM	9.834299
GSM714080_Treat	T2DM	9.759777
GSM714081_Treat	T2DM	9.512972
GSM714082_Treat	T2DM	9.547194
GSM714083_Treat	T2DM	9.575608
GSM714084_Treat	T2DM	7.364815
GSM714085_Treat	T2DM	7.207731
GSM1060118_Treat	T2DM	7.560815
GSM1060120_Treat	T2DM	9.631951
GSM1060122_Treat	T2DM	9.411846
GSM1060124_Treat	T2DM	9.006391
GSM1060126_Treat	T2DM	9.521317
GSM1060128_Treat	T2DM	8.098113
GSM1060130_Treat	T2DM	8.323683
GSM1060132_Treat	T2DM	8.479666
GSM1060134_Treat	T2DM	9.551885
GSM1060136_Treat	T2DM	9.015233
GSM1060138_Treat	T2DM	9.895045
GSM1060140_Treat	T2DM	9.214624
GSM1060142_Treat	T2DM	8.696836
GSM1060144_Treat	T2DM	8.105294
GSM1060146_Treat	T2DM	7.83508
GSM1060148_Treat	T2DM	8.780569
GSM1060150_Treat	T2DM	8.176225
GSM1060152_Treat	T2DM	8.901156
GSM1060154_Treat	T2DM	9.316661
GSM1060156_Treat	T2DM	8.444237
GSM1060158_Treat	T2DM	9.248796
GSM1060160_Treat	T2DM	8.955491
GSM1060162_Treat	T2DM	9.68077
GSM1060164_Treat	T2DM	8.530378
GSM1060166_Treat	T2DM	8.730063
GSM1060168_Treat	T2DM	9.57441
GSM1060170_Treat	T2DM	8.845288
GSM1060172_Treat	T2DM	7.978674
GSM1060174_Treat	T2DM	10.098334
GSM1060176_Treat	T2DM	9.273563
GSM1060178_Treat	T2DM	7.941058
GSM1060180_Treat	T2DM	8.809427
GSM161958_Treat	T2DM	8.88846
GSM161959_Treat	T2DM	9.053441
GSM161960_Treat	T2DM	9.026028
GSM161961_Treat	T2DM	9.073431
GSM161962_Treat	T2DM	8.988413
GSM161963_Treat	T2DM	8.915616
GSM161964_Treat	T2DM	8.749388
GSM161965_Treat	T2DM	9.020413
GSM161945_Treat	T2DM	9.117864
GSM161946_Treat	T2DM	9.748282
GSM161949_Treat	T2DM	9.067737
GSM161950_Treat	T2DM	10.388059
GSM161951_Treat	T2DM	9.00766
GSM161952_Treat	T2DM	9.153501
GSM161948_Treat	T2DM	9.27236
GSM161953_Treat	T2DM	8.883048
GSM161954_Treat	T2DM	9.461081
GSM161955_Treat	T2DM	9.405708
GSM161956_Treat	T2DM	10.412779
GSM161957_Treat	T2DM	8.720237
