ID	Group	MYOCD
GSM714086_Control	Normal	8.424906
GSM714087_Control	Normal	8.689827
GSM714088_Control	Normal	8.305485
GSM714089_Control	Normal	9.436744
GSM714090_Control	Normal	9.558152
GSM714091_Control	Normal	8.831243
GSM714092_Control	Normal	9.001787
GSM714093_Control	Normal	7.239129
GSM714094_Control	Normal	9.069795
GSM714095_Control	Normal	8.422328
GSM714096_Control	Normal	6.792835
GSM714097_Control	Normal	8.744577
GSM714098_Control	Normal	8.258126
GSM1060117_Control	Normal	6.821334
GSM1060119_Control	Normal	9.424035
GSM1060121_Control	Normal	9.88735
GSM1060123_Control	Normal	9.805196
GSM1060125_Control	Normal	8.208334
GSM1060127_Control	Normal	8.648475
GSM1060129_Control	Normal	9.491448
GSM1060131_Control	Normal	9.395807
GSM1060133_Control	Normal	8.870278
GSM1060135_Control	Normal	8.982917
GSM1060137_Control	Normal	10.009817
GSM1060139_Control	Normal	6.602975
GSM1060141_Control	Normal	8.249054
GSM1060143_Control	Normal	8.763072
GSM1060145_Control	Normal	8.709096
GSM1060147_Control	Normal	9.075652
GSM1060149_Control	Normal	6.683545
GSM1060151_Control	Normal	8.284603
GSM1060153_Control	Normal	9.101736
GSM1060155_Control	Normal	9.314424
GSM1060157_Control	Normal	7.114336
GSM1060159_Control	Normal	8.055984
GSM1060161_Control	Normal	8.95304
GSM1060163_Control	Normal	8.48635
GSM1060165_Control	Normal	9.035081
GSM1060167_Control	Normal	8.321957
GSM1060169_Control	Normal	9.557364
GSM1060171_Control	Normal	7.351767
GSM1060173_Control	Normal	8.482297
GSM1060175_Control	Normal	8.940219
GSM1060177_Control	Normal	8.267549
GSM1060179_Control	Normal	8.138102
GSM161966_Control	Normal	8.600067
GSM161967_Control	Normal	9.878889
GSM161968_Control	Normal	7.927312
GSM161969_Control	Normal	8.227939
GSM161970_Control	Normal	8.325739
GSM161971_Control	Normal	7.565652
GSM714070_Treat	T2DM	7.420972
GSM714071_Treat	T2DM	7.534631
GSM714072_Treat	T2DM	6.283437
GSM714073_Treat	T2DM	6.202429
GSM714074_Treat	T2DM	7.621761
GSM714075_Treat	T2DM	7.607082
GSM714076_Treat	T2DM	7.661383
GSM714077_Treat	T2DM	8.202474
GSM714078_Treat	T2DM	8.243545
GSM714079_Treat	T2DM	8.599159
GSM714080_Treat	T2DM	8.564617
GSM714081_Treat	T2DM	8.249574
GSM714082_Treat	T2DM	8.151364
GSM714083_Treat	T2DM	8.0392
GSM714084_Treat	T2DM	5.155184
GSM714085_Treat	T2DM	5.314519
GSM1060118_Treat	T2DM	5.511296
GSM1060120_Treat	T2DM	9.17553
GSM1060122_Treat	T2DM	8.402871
GSM1060124_Treat	T2DM	7.521433
GSM1060126_Treat	T2DM	7.985572
GSM1060128_Treat	T2DM	6.316483
GSM1060130_Treat	T2DM	6.155671
GSM1060132_Treat	T2DM	6.621104
GSM1060134_Treat	T2DM	7.969379
GSM1060136_Treat	T2DM	6.973959
GSM1060138_Treat	T2DM	8.750923
GSM1060140_Treat	T2DM	7.852805
GSM1060142_Treat	T2DM	7.431746
GSM1060144_Treat	T2DM	6.096833
GSM1060146_Treat	T2DM	6.05604
GSM1060148_Treat	T2DM	7.074988
GSM1060150_Treat	T2DM	6.776221
GSM1060152_Treat	T2DM	7.372002
GSM1060154_Treat	T2DM	7.52758
GSM1060156_Treat	T2DM	6.556992
GSM1060158_Treat	T2DM	7.812976
GSM1060160_Treat	T2DM	7.565722
GSM1060162_Treat	T2DM	8.516867
GSM1060164_Treat	T2DM	6.46765
GSM1060166_Treat	T2DM	6.72889
GSM1060168_Treat	T2DM	7.799689
GSM1060170_Treat	T2DM	6.758557
GSM1060172_Treat	T2DM	6.106132
GSM1060174_Treat	T2DM	8.549383
GSM1060176_Treat	T2DM	7.874428
GSM1060178_Treat	T2DM	5.640714
GSM1060180_Treat	T2DM	6.890038
GSM161958_Treat	T2DM	7.905572
GSM161959_Treat	T2DM	7.664118
GSM161960_Treat	T2DM	7.801442
GSM161961_Treat	T2DM	7.849314
GSM161962_Treat	T2DM	8.07443
GSM161963_Treat	T2DM	7.73108
GSM161964_Treat	T2DM	7.42688
GSM161965_Treat	T2DM	7.752953
GSM161945_Treat	T2DM	8.037059
GSM161946_Treat	T2DM	7.42688
GSM161949_Treat	T2DM	7.781018
GSM161950_Treat	T2DM	7.869864
GSM161951_Treat	T2DM	7.955717
GSM161952_Treat	T2DM	7.524299
GSM161948_Treat	T2DM	7.190603
GSM161953_Treat	T2DM	7.534133
GSM161954_Treat	T2DM	7.927986
GSM161955_Treat	T2DM	7.859785
GSM161956_Treat	T2DM	7.695415
GSM161957_Treat	T2DM	7.815207
