ID	Group	NEXN
GSM714086_Control	Normal	11.373724
GSM714087_Control	Normal	11.501829
GSM714088_Control	Normal	11.0827
GSM714089_Control	Normal	11.299025
GSM714090_Control	Normal	11.325856
GSM714091_Control	Normal	11.067998
GSM714092_Control	Normal	11.36708
GSM714093_Control	Normal	9.720084
GSM714094_Control	Normal	11.521558
GSM714095_Control	Normal	11.094247
GSM714096_Control	Normal	9.415879
GSM714097_Control	Normal	10.829987
GSM714098_Control	Normal	10.687284
GSM1060117_Control	Normal	10.11165
GSM1060119_Control	Normal	11.528724
GSM1060121_Control	Normal	11.549079
GSM1060123_Control	Normal	11.509302
GSM1060125_Control	Normal	10.571047
GSM1060127_Control	Normal	10.951749
GSM1060129_Control	Normal	11.252587
GSM1060131_Control	Normal	11.234078
GSM1060133_Control	Normal	11.474794
GSM1060135_Control	Normal	11.235546
GSM1060137_Control	Normal	11.59213
GSM1060139_Control	Normal	9.38195
GSM1060141_Control	Normal	10.276014
GSM1060143_Control	Normal	10.893837
GSM1060145_Control	Normal	10.814048
GSM1060147_Control	Normal	10.942245
GSM1060149_Control	Normal	9.42266
GSM1060151_Control	Normal	10.818008
GSM1060153_Control	Normal	11.130746
GSM1060155_Control	Normal	11.412716
GSM1060157_Control	Normal	9.872423
GSM1060159_Control	Normal	10.41803
GSM1060161_Control	Normal	11.092787
GSM1060163_Control	Normal	10.773682
GSM1060165_Control	Normal	11.082228
GSM1060167_Control	Normal	10.710255
GSM1060169_Control	Normal	11.302493
GSM1060171_Control	Normal	10.086511
GSM1060173_Control	Normal	11.310865
GSM1060175_Control	Normal	11.003819
GSM1060177_Control	Normal	10.495934
GSM1060179_Control	Normal	10.405014
GSM161966_Control	Normal	10.617127
GSM161967_Control	Normal	10.324456
GSM161968_Control	Normal	8.694152
GSM161969_Control	Normal	8.672511
GSM161970_Control	Normal	8.123034
GSM161971_Control	Normal	9.776515
GSM714070_Treat	T2DM	9.999336
GSM714071_Treat	T2DM	10.143541
GSM714072_Treat	T2DM	9.439606
GSM714073_Treat	T2DM	8.838614
GSM714074_Treat	T2DM	9.951912
GSM714075_Treat	T2DM	9.867345
GSM714076_Treat	T2DM	9.522539
GSM714077_Treat	T2DM	10.015373
GSM714078_Treat	T2DM	10.409806
GSM714079_Treat	T2DM	10.462636
GSM714080_Treat	T2DM	10.491059
GSM714081_Treat	T2DM	10.426046
GSM714082_Treat	T2DM	10.207728
GSM714083_Treat	T2DM	10.262122
GSM714084_Treat	T2DM	8.87589
GSM714085_Treat	T2DM	9.191528
GSM1060118_Treat	T2DM	9.284553
GSM1060120_Treat	T2DM	11.416077
GSM1060122_Treat	T2DM	10.676243
GSM1060124_Treat	T2DM	10.081435
GSM1060126_Treat	T2DM	10.661375
GSM1060128_Treat	T2DM	8.888352
GSM1060130_Treat	T2DM	9.303021
GSM1060132_Treat	T2DM	9.485349
GSM1060134_Treat	T2DM	10.712789
GSM1060136_Treat	T2DM	9.934493
GSM1060138_Treat	T2DM	9.98538
GSM1060140_Treat	T2DM	10.494413
GSM1060142_Treat	T2DM	9.750491
GSM1060144_Treat	T2DM	8.890427
GSM1060146_Treat	T2DM	8.905326
GSM1060148_Treat	T2DM	9.53566
GSM1060150_Treat	T2DM	9.601129
GSM1060152_Treat	T2DM	10.077254
GSM1060154_Treat	T2DM	10.267895
GSM1060156_Treat	T2DM	9.497373
GSM1060158_Treat	T2DM	10.274913
GSM1060160_Treat	T2DM	9.749874
GSM1060162_Treat	T2DM	10.985766
GSM1060164_Treat	T2DM	9.532402
GSM1060166_Treat	T2DM	9.533306
GSM1060168_Treat	T2DM	10.122479
GSM1060170_Treat	T2DM	9.533306
GSM1060172_Treat	T2DM	9.099531
GSM1060174_Treat	T2DM	11.127961
GSM1060176_Treat	T2DM	10.345983
GSM1060178_Treat	T2DM	8.242921
GSM1060180_Treat	T2DM	9.752299
GSM161958_Treat	T2DM	10.799845
GSM161959_Treat	T2DM	10.685979
GSM161960_Treat	T2DM	10.674769
GSM161961_Treat	T2DM	10.703439
GSM161962_Treat	T2DM	11.123022
GSM161963_Treat	T2DM	10.674769
GSM161964_Treat	T2DM	10.070052
GSM161965_Treat	T2DM	10.850257
GSM161945_Treat	T2DM	10.785583
GSM161946_Treat	T2DM	10.517819
GSM161949_Treat	T2DM	10.967153
GSM161950_Treat	T2DM	11.02609
GSM161951_Treat	T2DM	10.817713
GSM161952_Treat	T2DM	10.796268
GSM161948_Treat	T2DM	10.286498
GSM161953_Treat	T2DM	10.395901
GSM161954_Treat	T2DM	10.594427
GSM161955_Treat	T2DM	10.48101
GSM161956_Treat	T2DM	10.060329
GSM161957_Treat	T2DM	10.571525
